source,target,join
CRMD_ORDERADM_H,CRMD_LINK,CLIENT=CLIENT AND GUID_HI=GUID
CRMD_ORDERADM_I,CRMD_LINK,CLIENT=CLIENT AND GUID_HI=GUID
CRMD_LINK,CRMD_SRV_OSSET,CLIENT=CLIENT AND GUID_SET=T14.GUID_SET
CRMD_SRV_OSSET,CRMD_SRV_SUBJECT,CLIENT=CLIENT AND GUID_REF=GUID
CRMD_SRV_SUBJECT,CRMC_ERMS_CAT_OK,CLIENT=CLIENT AND OBJ_EXTKEY=KATALOGART||CODEGRUPPE||'   '||CODE
CRMC_ERMS_CAT_OK,CRMC_ERMS_CAT_LN,CLIENT=CLIENT AND OBJ_GUID=OBJ_GUID
CRMC_ERMS_CAT_OK,CRMC_ERMS_CAT_AS,CLIENT=CLIENT AND ASP_ID=ASP_ID AND ASP_STATE='R'
CRMD_ORDERADM_H,CRMD_ACTIVITY_H,CLIENT=CLIENT AND GUID=GUID
CRMD_ORDERADM_H,CRMD_ORDERADM_I,
CRMD_ORDERADM_H,CRMD_OPPORT_H,
CRMD_ORDERADM_H,CRMD_CUSTOMER_H,
CRMD_LINK,CRMD_SURVEY,
CRMD_LINK,SCAPPTSEG,
CRMD_LINK,CRMD_CANCEL,
CRMD_LINK,CRMD_PRICING,
CRMD_LINK,CRMD_PARTNER,
CRMD_LINK,CRMD_SALES,
CRMD_LINK,CRMD_SHIPPING,
CRMD_LINK,CRMD_BILLPLAN,
CRMD_LINK,CRMD_BILLING,
CRMD_LINK,CRMD_ORGMAN,
CRMD_LINK,PRCD_HEAD,
PRCD_HEAD,PRCD_COND,
CRMD_ORDERADM_I,CRMD_ACTIVITY_I,
CRMD_ORDERADM_I,CRMD_PRODUCT_I,
CRMD_ORDERADM_I,CRMD_SCHEDLIN,
CRMD_ORDERADM_I,CRMD_STRUCT_I,
CRMD_ORDERADM_I,CRMD_PRICING_I,
